State,District,"Subdistt
(Police Station)",Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,,,
21,381,2944,398464,0,0,VILLAGE,Jodumu,Rural,482,2102,1092,1010,273,146,127,655,337,318,79,41,38,1319,762,557,783,330,453,768,628,140,514,491,23,96,95,1,253,247,6,2,2,0,163,147,16,254,137,117,29,24,5,205,100,105,0,0,0,20,13,7,252,136,116,29,24,5,203,99,104,0,0,0,20,13,7,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1334,464,870,,Found,At row ...19224
21,381,2944,398465,0,0,VILLAGE,Mardamekha,Rural,137,646,339,307,69,38,31,59,31,28,0,0,0,461,271,190,185,68,117,379,214,165,135,129,6,7,7,0,64,64,0,0,0,0,64,58,6,244,85,159,0,0,0,235,82,153,1,0,1,8,3,5,218,78,140,0,0,0,211,75,136,0,0,0,7,3,4,26,7,19,0,0,0,24,7,17,1,0,1,1,0,1,267,125,142,,Found,At row ...19225
21,381,2944,398469,0,0,VILLAGE,Sukat,Rural,47,209,111,98,26,10,16,4,3,1,0,0,0,160,95,65,49,16,33,117,80,37,84,79,5,29,29,0,19,18,1,0,0,0,36,32,4,33,1,32,0,0,0,33,1,32,0,0,0,0,0,0,11,0,11,0,0,0,11,0,11,0,0,0,0,0,0,22,1,21,0,0,0,22,1,21,0,0,0,0,0,0,92,31,61,,Found,At row ...19229
21,381,2944,398470,0,0,VILLAGE,Krishnaprasad,Rural,44,212,121,91,22,17,5,36,21,15,22,12,10,169,101,68,43,20,23,103,68,35,74,68,6,29,29,0,18,18,0,3,0,3,24,21,3,29,0,29,0,0,0,28,0,28,1,0,1,0,0,0,3,0,3,0,0,0,2,0,2,1,0,1,0,0,0,26,0,26,0,0,0,26,0,26,0,0,0,0,0,0,109,53,56,,Found,At row ...19230
21,381,2944,398471,0,0,VILLAGE,Barabhaya,Rural,95,425,206,219,55,29,26,99,57,42,75,39,36,215,150,65,210,56,154,140,124,16,126,124,2,63,63,0,27,25,2,0,0,0,36,36,0,14,0,14,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,14,0,14,0,0,0,0,0,0,285,82,203,,Found,At row ...19231
21,381,2944,398472,0,0,VILLAGE,Kusal,Rural,4,22,10,12,4,1,3,0,0,0,22,10,12,11,8,3,11,2,9,6,6,0,6,6,0,3,3,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,12,,Found,At row ...19232
21,381,2944,398473,0,0,VILLAGE,Balikiari,Rural,79,355,168,187,50,26,24,0,0,0,94,46,48,211,124,87,144,44,100,103,93,10,94,93,1,66,65,1,9,9,0,0,0,0,19,19,0,9,0,9,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,9,0,9,0,0,0,0,0,0,252,75,177,,Found,At row ...19233
21,381,2944,398474,0,0,VILLAGE,Jaganathprasad,Rural,385,1579,827,752,205,100,105,235,118,117,73,33,40,1007,598,409,572,229,343,720,549,171,484,474,10,65,65,0,191,190,1,5,5,0,223,214,9,236,75,161,7,4,3,167,19,148,3,0,3,59,52,7,191,74,117,7,4,3,123,19,104,3,0,3,58,51,7,45,1,44,0,0,0,44,0,44,0,0,0,1,1,0,859,278,581,,Found,At row ...19234
21,381,2944,398475,0,0,VILLAGE,Jaganathaprasadpatana,Rural,116,545,296,249,55,35,20,35,18,17,12,6,6,416,241,175,129,55,74,210,186,24,189,185,4,56,56,0,84,82,2,0,0,0,49,47,2,21,1,20,0,0,0,20,0,20,0,0,0,1,1,0,21,1,20,0,0,0,20,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,110,225,,Found,At row ...19235
21,381,2944,398476,0,0,VILLAGE,Saradhapur,Rural,265,1268,645,623,150,77,73,59,32,27,1,0,1,908,511,397,360,134,226,434,362,72,296,276,20,133,131,2,39,34,5,6,2,4,118,109,9,138,86,52,14,11,3,102,56,46,4,2,2,18,17,1,129,85,44,14,11,3,94,56,38,3,1,2,18,17,1,9,1,8,0,0,0,8,0,8,1,1,0,0,0,0,834,283,551,,Found,At row ...19236
